"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"5070",315.051624838166,315.049929193139,315.052340805781,6965.07040868344,6963.70584485329,6966.68339625671,9,3,3,3,394469,330562,344740,42304,43487,32889,544581,576047,509556,"[1177][M]-","","4",344740
"4165",345.061986518883,345.060830905696,345.063161119931,6978.32408224912,6977.7250278231,6980.75271720578,9,3,3,3,16706,14160,14602,26922,26957,25036,10280,11425,10144,"[1105][M]-","","147",14602
"4138",327.051856816309,327.049806119393,327.052390336853,6992.31808528758,6991.74251021988,6994.81745078821,9,3,3,3,4353,3967,4013,3604,3735,3829,3003,5368,4889,"","","311",3967
"11790",331.247515839725,331.247515839725,331.247515839725,6993.96870400154,6993.96870400154,6993.96870400154,1,0,1,0,1799,1734,1621,3225,3109,3211,450,519,470,"","","1077",1734
"4499",235.925784139614,235.925784139614,235.925784139614,7011.21161104048,7011.21161104048,7011.21161104048,1,1,0,0,859,715,750,890,941,905,724,689,663,"","","327",750
"4184",375.185226076308,375.183255180481,375.186349506261,7027.25437963727,7026.04084474086,7028.37148217118,9,3,3,3,30889,25909,27086,40503,37626,39836,17269,17423,17128,"[1113][M]-","","124",27086
"8175",286.043893372437,286.043778351298,286.044008393575,7029.45446277964,7028.31138845573,7030.59753710355,2,1,0,1,2309,2002,2860,464,453,291,2607,3097,2991,"","","646",2309
"10823",445.033363766478,445.033363766478,445.033363766478,7038.41797789473,7038.41797789473,7038.41797789473,1,0,1,0,1868,1644,1630,1947,1806,2165,1487,1593,1386,"","","377",1644
"9614",285.127574063202,285.127574063202,285.127574063202,7048.2718175679,7048.2718175679,7048.2718175679,1,0,0,1,1764,1589,1587,1626,1639,1688,1580,1580,1537,"","","991",1589
"4160",357.062387132679,357.059856258096,357.063069475951,7054.47552507092,7053.78885029124,7056.47728171054,9,3,3,3,5654,5445,5168,7091,6675,6833,2316,4433,4057,"[1103][M]-","","273",5445
"11787",311.222327554645,311.221803359625,311.222851749666,7065.64965901687,7064.12123982994,7067.1780782038,2,0,2,0,3146,2770,2923,5213,4818,4939,1148,1145,1140,"","","312",2923
"4194",329.233922624436,329.232002340809,329.234618405491,7086.78660192574,7084.16137559822,7090.61551503479,9,3,3,3,13534,12571,12342,25136,22896,24418,2683,2667,2526,"[1117][M]-","","153",12571
"8188",683.092895509877,683.092895509877,683.092895509877,7090.34602757184,7090.34602757184,7090.34602757184,1,0,0,1,1815,1644,1809,1201,1120,1149,2066,2083,1971,"","","702",1809
"12202",311.222046403532,311.222046403532,311.222046403532,7113.42652770583,7113.42652770583,7113.42652770583,1,0,1,0,1109,1105,1167,1957,1643,1703,587,636,524,"","","385",1109
"10798",445.193696772721,445.193696772721,445.193696772721,7118.69216050246,7118.69216050246,7118.69216050246,1,0,1,0,1149,924,894,1084,1068,1093,1012,946,898,"","","367",1012
"4244",683.091904790235,683.091171749232,683.092637831237,7121.90362563631,7120.37865920928,7123.42859206335,2,1,0,1,2080,1778,2058,1408,1426,1575,2244,2391,2378,"[1134][M]-","","1170",2058
"4245",683.093530004888,683.09234877,683.094711239776,7153.91067151886,7150.35651558984,7157.46482744787,2,1,0,1,2107,1989,2152,1524,1589,1582,2395,2459,2522,"","","1160",2107
"11812",712.048736925143,712.048736925143,712.048736925143,7156.29343460473,7156.29343460473,7156.29343460473,1,0,1,0,1698,1672,1722,1696,1838,1834,1552,1685,1492,"","","363",1696
"4168",311.192348917403,311.188931600465,311.193113542779,7183.31403074369,7180.33212468303,7183.8269219855,6,3,3,0,1308,1104,1154,1616,1490,1659,1018,945,953,"","","1144",1154
"4237",683.092167544281,683.091102598296,683.093232490266,7183.97855148135,7178.47128308336,7189.48581987934,2,1,0,1,2180,2023,2152,1614,1727,1696,2412,2488,2539,"[1129][M]-","","348",2152
"4216",313.238252971615,313.237006022645,313.239649002567,7213.61143290846,7212.9906094323,7216.01762555116,6,3,3,0,2931,2463,2530,4691,4023,4439,914,893,910,"","","951",2530
