"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"10122",325.056890658117,325.055390845645,325.057210698263,2909.15417867883,2907.63299339386,2914.60136683013,3,0,3,0,32151,28916,30323,10837,11023,11591,54854,56867,52091,"[1557][M]-","","92",30323
"1518",615.171639567359,615.169682044821,615.172708234262,2934.05794148208,2932.12103922166,2939.03549466449,9,3,3,3,17403,14984,15728,10308,9258,9967,21640,21526,19589,"[337][M]-","","168",15728
"1450",330.201726156752,330.201432761441,330.20396434534,2934.51974825414,2928.02846927006,2947.03481122699,3,3,0,0,1250,1124,1063,1953,1943,1958,332,209,276,"","","738",1124
"1523",263.140443925569,263.139628138692,263.140983261201,2962.58726378806,2943.42622168978,2989.0332608418,6,3,3,0,5921,6616,6048,11357,10756,10415,1932,920,1314,"[340][M]-","","237",6048
"1746",319.045776104329,319.044832032839,319.046823876659,2999.86749602279,2995.03450674285,3003.36178192787,9,3,3,3,46147,42212,43160,41182,39733,38340,48389,46196,42665,"[404][M]-","","102",42665
"1515",201.040420717321,201.039544041185,201.040842547543,3028.50987044457,3022.45411771101,3045.03111071579,9,3,3,3,3353,2816,3080,2946,2756,2664,3172,3148,3053,"","","297",3053
"10111",615.169362870449,615.168310511237,615.170415229662,3046.86194761983,3043.96501473558,3049.75888050408,2,0,2,0,2732,1719,2153,1207,1545,1496,2715,2249,2071,"[1556][M]-","","346",2071
"2042",577.133547913123,577.133077114675,577.135324028245,3079.07442397549,3076.45919681167,3081.01793982777,3,1,1,1,31462,28864,33483,35314,72356,62581,17894,9890,8300,"","","74",31462
"1595",431.191411200088,431.190045398969,431.19313727976,3113.45256160732,3108.23343454658,3128.97159683536,9,3,3,3,53938,49352,49554,35851,34603,36111,64004,66514,59001,"[361][M]-","","80",49554
"1547",314.208771242936,314.207241857372,314.20931820204,3130.79197015355,3122.85367576358,3142.9564104772,3,3,0,0,1817,1671,1607,2827,2962,2670,561,449,433,"","","973",1671
"5667",355.103023357263,355.102090884346,355.104204137196,3131.86880977982,3130.44003564483,3132.85375496306,8,2,3,3,6463,6126,5850,5003,4655,5030,7100,7538,6485,"[1228][M]-","","267",6126
"1795",881.194223508484,881.191561135187,881.196884252363,3143.31694762471,3136.9120429542,3145.04802272127,6,3,0,3,4666,4118,4351,368,595,353,8184,7619,7211,"[421][M]-","","207",4351
"1580",625.175833489031,625.173710500214,625.17674147307,3168.22318122931,3164.66785466449,3176.92016224181,9,3,3,3,3410,3056,3243,1937,1863,1724,4569,3716,3460,"","","324",3243
"1607",709.108152437912,709.106191996331,709.109585705128,3184.99499760796,3177.93222547629,3194.89500930553,8,3,2,3,4495,4017,4059,2182,2200,3027,6455,5548,4867,"[367][M]-","","286",4059
"2040",577.13481641046,577.132705008602,577.136761661009,3209.23205996463,3199.29118214663,3218.99710847976,9,3,3,3,277767,246083,248450,320940,300540,321691,160160,153251,137834,"[491][M]-","","13",248450
"1597",447.150235692069,447.14880531161,447.152304839719,3229.70581151599,3224.27483283659,3240.87570599943,8,3,2,3,4581,3922,4042,2431,2419,2178,6003,6052,5597,"[363][M]-","","294",4042
"1614",481.097999947355,481.09652918442,481.100065433409,3250.44549562852,3243.57559408031,3251.42605558472,8,3,2,3,9667,8507,8987,1297,1247,1270,17927,17330,16262,"[369][M]-","","192",8987
"1622",423.186248253402,423.185564743495,423.18889066173,3275.9533438542,3271.51349124573,3286.85857017071,8,3,2,3,3581,2896,3054,1384,1318,1396,4922,5462,4337,"","","280",3054
"1598",252.051511448587,252.050728728916,252.052096584137,3280.93929833363,3279.80258496132,3285.55962663101,6,3,3,0,4075,3792,3667,6385,5881,5761,1010,947,941,"","","1006",3792
"1592",509.169217502921,509.16753968586,509.17030736919,3281.67331153258,3275.52953082736,3286.85857017071,6,3,3,0,5630,4508,4805,4268,4195,4648,5140,5744,4903,"[360][M]-","","1005",4805
"4478",235.92597727113,235.92597727113,235.92597727113,3294.85741807208,3294.85741807208,3294.85741807208,1,1,0,0,659,617,574,652,609,622,603,571,592,"","","813",609
"1982",865.19843517923,865.19648189933,865.202537315832,3312.05354492538,3304.86560378363,3318.85565155088,6,3,0,3,8384,7167,7491,450,558,479,16845,14111,13634,"[470][M]-","","198",7491
"2043",577.134485220915,577.132680863815,577.135308147725,3348.94677015477,3343.79626360149,3360.10076049304,5,2,2,1,78875,70284,69015,107690,92488,104414,36039,30304,29929,"[493][M]-","","49",70284
"1753",319.049888052674,319.047753075574,319.052023029774,3382.68724959889,3374.86988833913,3390.50461085866,2,1,1,0,637,635,612,527,494,418,2168,383,363,"","","746",527
"5792",397.022275308379,397.021472063746,397.023809911037,3390.38577571226,3389.47470276301,3398.96338273959,3,0,0,3,4059,3738,3526,3366,3193,3084,2385,4900,4991,"[1245][M]-","","745",3526
"5741",487.144322149068,487.143969795618,487.146443831354,3392.960360629,3391.48896291526,3394.38213557538,3,0,0,3,12739,10530,11159,2193,1903,2003,20301,20794,18471,"[1236][M]-","","171",11159
"1624",423.187064970802,423.185581445607,423.188646169386,3412.85432516144,3397.16630272177,3424.90218650148,8,3,2,3,1185,1505,1221,1137,1134,1118,1088,1668,994,"","","753",1137
"1726",203.092177182177,203.091704672054,203.092810047612,3419.68753579665,3412.02370587907,3432.91011504756,9,3,3,3,16417,15317,15086,12643,11607,11998,19548,19039,17422,"[398][M]-","","172",15317
"1993",578.137012156312,578.136145609051,578.138679473741,3448.82171699654,3446.92243428228,3448.88907583207,3,1,2,0,4014,2939,3114,4705,4833,5824,1911,1679,1579,"[471][M]-","","202",3114
"10145",487.077839325709,487.075523572407,487.080155079011,3451.80644897365,3450.82550712744,3452.78739081987,2,0,2,0,9442,8625,8843,1665,1415,1469,16490,15539,14572,"","","836",8843
"1660",331.081718241114,331.081270341659,331.082681278754,3456.94456511571,3454.14557511985,3464.9418029567,9,3,3,3,3362,3152,2959,2063,1934,1608,5591,3329,3459,"","","205",3152
"10161",713.118690338341,713.118218953894,713.118871897932,3462.85548544949,3456.94456511571,3462.86333542256,3,0,3,0,1869,1749,1878,2965,2858,3486,474,520,500,"","","319",1869
"1779",431.191445123265,431.19025319106,431.192962516056,3495.20908715907,3489.06501644211,3506.99599186806,9,3,3,3,26846,23810,24450,21658,20710,20243,28414,28847,26197,"[415][M]-","","144",24450
"5742",487.143156263419,487.139213680069,487.145947295961,3525.35282781696,3522.39282454224,3527.01563591932,5,0,3,2,12533,10962,11588,1273,1336,1250,22056,22239,20109,"[1237][M]-","","163",11588
"11544",229.098439425817,229.098284342848,229.098594508785,3549.30469391869,3547.53025579251,3551.07913204487,2,0,2,0,14487,13834,13608,16307,15857,16119,12054,12371,11977,"[1642][M]-","","204",13834
"1775",204.066156375546,204.065820705211,204.066574935751,3570.2212382564,3567.09876558428,3573.1334644007,9,3,3,3,44187,41877,42124,66535,65892,62122,16509,16139,15273,"[414][M]-","","79",42124
"10159",633.196412122879,633.196186207117,633.196638038641,3587.51588008792,3585.17031916448,3589.86144101136,2,0,2,0,1253,1252,902,1997,1961,1997,0,0,0,"","","382",1252
"1759",275.103612433365,275.102633574314,275.104379013141,3605.21884800089,3602.47796013009,3613.19884063724,9,3,3,3,26586,24582,23683,42544,39831,40595,7953,8527,7448,"[408][M]-","","113",24582
"10163",662.302348978288,662.302348978288,662.302348978288,3624.11025344883,3624.11025344883,3624.11025344883,1,0,1,0,347,370,368,758,721,1123,110,144,0,"","","649",368
"1699",487.144822256859,487.142576050584,487.146018266068,3626.5182181403,3621.04831934261,3629.27431009696,9,3,3,3,22047,18390,19025,2583,2526,2472,37186,36473,34329,"[386][M]-","","129",19025
"1780",431.191520747851,431.189215278068,431.192947373831,3643.19217049947,3634.18068173232,3653.2997888144,9,3,3,3,59304,53844,55221,43928,41603,41564,64927,65507,60162,"[416][M]-","","82",55221
"5797",397.02646991459,397.024373734393,397.02854487321,3675.40016676694,3674.25317577288,3695.31212102793,3,0,0,3,34484,32237,32539,32028,29153,30554,19079,34134,29782,"[1250][M]-","","135",32028
"1707",397.049296705655,397.044527799471,397.054718415516,3689.00744358315,3680.08959742354,3694.58060089333,6,3,3,0,34484,32237,32539,51568,46267,46327,16201,28025,25956,"[392][M]-","","99",32539
"11545",275.103216684654,275.102653611398,275.10377975791,3711.8212310401,3711.44772938897,3712.19473269123,2,0,2,0,6320,2355,3292,6315,5975,5211,922,939,862,"","","288",3292
"1797",469.114140345757,469.112184505862,469.115111117664,3716.64675678702,3712.19473269123,3718.73158094968,7,3,3,1,5253,4713,4803,7027,6927,6844,2395,2286,2246,"[422][M]-","","250",4803
"11555",399.030211634643,399.030211634643,399.030211634643,3722.22709648882,3722.22709648882,3722.22709648882,1,0,1,0,2370,2153,2185,1838,2191,2634,1657,2935,2719,"","","927",2191
"1782",431.189946258919,431.188270103962,431.191878774451,3730.25287082062,3724.65763372376,3743.57587414491,9,3,3,3,9591,8494,8489,6460,6399,6481,9194,9273,8854,"","","926",8494
"1855",449.10819592924,449.106314424791,449.109135122156,3749.52402577462,3746.30439634705,3751.40064446669,9,3,3,3,44620,39895,40866,30373,28742,29858,52468,51667,47651,"[440][M]-","","546",40866
"1875",594.139419691496,594.13637264686,594.141624110811,3771.04912336056,3760.34880727049,3779.72735451007,5,2,3,0,4650,3977,3804,7343,6814,8281,856,810,674,"[443][M]-","","73",3977
"1895",323.124504243639,323.123349841736,323.12524989114,3785.74145187074,3777.0852337188,3790.36144682718,9,3,3,3,39935,37192,37546,34659,32325,33142,40517,40258,36748,"[447][M]-","","123",37192
"8631",289.071732036791,289.071732036791,289.071732036791,3793.75913067064,3793.75913067064,3793.75913067064,1,1,0,0,834,866,873,1101,1089,1157,497,472,429,"","","644",866
"1874",685.122985987241,685.119272592783,685.124959345795,3822.39352158664,3816.29065064401,3837.44494492563,9,3,3,3,30873,27470,28624,20473,20351,23069,51624,56124,52022,"[442][M]-","","65",28624
"1807",422.192878296559,422.190603242776,422.194068718455,3828.23949847372,3820.55469953243,3843.93362675755,6,3,3,0,4124,3542,3970,6902,6939,6752,861,758,666,"[425][M]-","","276",3970
"1849",463.181848675506,463.179562133574,463.183228927365,3849.53715334523,3843.48087775679,3857.98785316094,9,3,3,3,17171,15196,15504,13493,12627,13665,18723,18777,17005,"[437][M]-","","55",15504
"5746",449.108105945097,449.107217647381,449.109859027894,3873.09695319318,3866.84695156439,3880.44516528755,4,1,0,3,6600,6124,5923,3390,4437,4225,8251,8482,7598,"[1238][M]-","","260",6124
"1951",261.134494138496,261.133330421394,261.135003036477,3879.95802606085,3873.66180801712,3890.45086169522,9,3,3,3,6864,6289,6513,7882,8160,8090,4965,4282,4089,"","","38",6513
"5796",397.023104388309,397.022215041231,397.023706302317,3888.65974680315,3883.57794541379,3899.84379963174,6,1,2,3,109934,92965,101696,90370,91334,75831,79515,133244,131038,"[1249][M]-","","485",92965
"1900",429.212388794039,429.210495424492,429.213302995793,3900.88187932254,3894.87519039134,3916.23168682379,9,3,3,3,36345,31373,32409,28682,27305,29467,40600,39652,34485,"[448][M]-","","122",32409
"1829",704.198147453164,704.194159955197,704.199639251296,3922.47968802895,3910.9246243795,3930.46044544578,8,3,3,2,1561,1395,1459,1818,1567,2089,1124,1228,1110,"","","378",1459
"10211",243.171508294474,243.170723425766,243.171724389132,3935.93330357809,3933.01864231707,3942.10073117745,3,0,3,0,3036,2898,2964,4470,4954,4680,1150,0,0,"","","148",2964
"1901",481.134121964114,481.132273933521,481.134822825542,3952.13053723394,3933.01864231707,3976.4524584628,9,3,3,3,6609,5911,5920,2842,2791,2713,9295,7781,7148,"","","255",5920
"5731",441.051887605485,441.050899387121,441.05641697123,3953.05995304956,3945.02842295979,3965.15367041428,4,0,1,3,434,356,341,266,451,556,254,606,506,"","","935",434
"5790",397.02267528436,397.021656905966,397.023961877866,3996.90759392534,3981.22060585976,4005.76863415875,7,1,3,3,154280,138633,144047,118239,119154,115682,113768,173711,160929,"[1244][M]-","","29",138633
"2006",289.071994675655,289.071031466404,289.072997526742,4030.88834492894,4017.36272595349,4066.43001241994,9,3,3,3,440398,415578,416883,519819,503947,522872,213829,186521,175564,"[480][M]-","","6",416883
"5770",579.149996833729,579.149509329437,579.151353787635,4065.92687623616,4065.64366093302,4066.43001241994,3,0,0,3,140012,125858,126730,156397,160805,176663,43286,33825,30733,"[1240][M]-","","27",126730
"5793",397.022750256799,397.021590272122,397.024059341355,4100.04807964373,4094.43164244014,4109.27030347767,7,1,3,3,106413,96991,97126,82671,84633,85350,87374,123397,116044,"[1246][M]-","","44",96991
"1902",376.152501228985,376.151171054122,376.153580617066,4124.41789074961,4122.72621709078,4135.41731354695,5,3,2,0,1993,1570,1695,2679,2623,2513,609,560,528,"","","1029",1695
"1966",477.103866067479,477.101064943318,477.105516687094,4141.4540726974,4135.98889177005,4145.47875458682,9,3,3,3,4506,4189,4189,3157,3236,3493,3747,6049,5262,"[465][M]-","","290",4189
"8632",289.071918134048,289.071150302037,289.073172997421,4168.53991795434,4165.77095508582,4170.62244748225,4,2,2,0,104736,111759,109453,155664,154953,174858,31244,23929,24531,"[1461][M]-","","28",109453
"2084",435.219641050847,435.216222844062,435.223421180148,4186.51627661183,4177.63341135943,4197.79467991325,9,3,3,3,19210,16612,17038,15577,14819,15981,19836,20636,17398,"[507][M]-","","175",17038
"1965",410.130849849238,410.129440637014,410.133460581779,4200.3077908333,4197.71138966705,4209.86423959557,9,3,3,3,6395,5407,5820,7429,7492,7067,3186,3140,2933,"","","268",5820
"7568",579.13958933369,579.13958933369,579.13958933369,4240.5856645447,4240.5856645447,4240.5856645447,1,0,0,1,10453,10025,10046,22167,24860,26157,1370,809,826,"","","149",10046
"1938",485.177110725673,485.175832213508,485.177897904419,4271.10176706517,4268.68077787223,4276.24115613009,6,3,1,2,6942,5814,5976,4015,3583,4107,8320,8141,7460,"[461][M]-","","262",5976
"8637",289.071644597179,289.071644597179,289.071644597179,4298.82753132591,4298.82753132591,4298.82753132591,1,1,0,0,39128,33249,33717,62711,59112,75719,9270,7413,7537,"[464][M+2]-","","72",33717
"2013",685.123114622766,685.120543540865,685.126801482179,4327.65250715985,4315.00969839947,4334.10888190508,9,3,3,3,15063,13709,14242,16949,16683,17933,9951,9785,9024,"[481][M]-","","105",14242
"2049",397.058158503834,397.055199840038,397.061680599017,4390.93100824936,4379.46353045562,4396.29815092658,9,3,3,3,42235,38414,39042,65279,64671,62817,11581,10928,10135,"[494][M]-","","83",39042
"2142",881.195879510981,881.192110396617,881.196989673132,4411.1998363926,4403.64153284678,4417.01252462513,5,2,0,3,4803,4124,4402,364,653,362,8987,8393,7785,"[520][M]-","","942",4402
"10280",320.162474183909,320.16062441588,320.163826284407,4416.96112130106,4413.44248420023,4418.36585899309,3,0,3,0,6430,5693,5851,8145,8086,8583,683,667,583,"[1566][M]-","","256",5851
"10276",485.224700786177,485.224681891652,485.224719680703,4430.68719617914,4428.39614167644,4432.97825068184,2,0,2,0,2506,2207,2286,3315,3201,3297,1547,1335,1300,"","","344",2286
"2055",528.172292713861,528.169486391274,528.173728721693,4455.00467442037,4447.96769876977,4459.24847531074,9,3,3,3,6551,5850,6185,4795,4533,4663,7714,7553,6996,"[496][M]-","","253",6185
"7607",711.106510999887,711.106510999887,711.106510999887,4463.42770991598,4463.42770991598,4463.42770991598,1,0,0,1,1119,1033,1072,403,375,494,1603,1886,1725,"","","339",1072
"5822",685.099004578529,685.097590805755,685.100418351303,4469.97909630498,4462.07128602376,4477.88690658619,2,0,0,2,1434,1357,1390,1556,1368,1223,1057,1952,2145,"[1252][M]-","","815",1390
"2054",229.098595384617,229.097956050059,229.10027798249,4481.2605291248,4457.33433626758,4501.61753105587,9,3,3,3,6369,6105,6104,6869,6739,7455,3936,4547,4087,"","","199",6105
"8641",685.09698917766,685.09596177751,685.09801657781,4503.61761217161,4501.91624777558,4505.31897656764,2,2,0,0,3290,2512,2925,2550,2133,2260,1987,5483,4523,"","","887",2550
"10285",397.05900233226,397.056621964183,397.060692002427,4505.21002086696,4505.05904845402,4520.67137024253,3,0,3,0,6618,5783,6210,12692,12255,11840,627,0,0,"[1567][M]-","","228",6210
"11565",564.237002425141,564.237002425141,564.237002425141,4531.1411079629,4531.1411079629,4531.1411079629,1,0,1,0,1832,929,1060,1125,979,668,846,720,958,"","","1049",958
"2034",289.038421131703,289.036469936014,289.042273557176,4531.82796034687,4526.15599950163,4542.73591468207,9,3,3,3,5228,4843,4684,4349,4359,4439,5187,5209,4669,"","","299",4684
"2565",509.223692440344,509.221454681826,509.226145663526,4570.40331605489,4562.79844764022,4581.98317981339,9,3,3,3,36195,30974,32093,36405,35549,36111,28674,28276,26746,"[642][M]-","","132",32093
"5853",435.223104962791,435.222900915025,435.225019299878,4586.12418060454,4580.9221453469,4588.50567519141,3,0,0,3,2214,1962,1925,1253,1226,1284,2720,2772,2390,"","","354",1962
"2118",1003.27264716546,1003.26616873646,1003.27385813732,4599.15243218061,4588.97609266477,4604.12620535952,7,3,1,3,4791,3803,3994,1641,1651,1880,6922,6692,5935,"[512][M]-","","277",3994
"2124",613.156623985032,613.153190640697,613.15884536473,4620.37044109528,4613.13265321157,4624.26092720008,9,3,3,3,18609,16330,16996,16438,15824,16547,17921,18008,17249,"[514][M]-","","186",16996
"2089",561.254996255936,561.252940022137,561.257447005727,4639.43288557413,4633.25848808743,4652.45716092542,9,3,3,3,3432,2796,3230,3113,3164,3267,2895,2834,2727,"","","313",3113
"2156",399.12958001718,399.127633630279,399.13083831648,4657.20431693483,4651.36696229923,4662.52888846671,9,3,3,3,28864,25640,25993,6624,6706,6618,46445,45679,43271,"[522][M]-","","109",25993
"2131",594.139975744434,594.137285177834,594.142398442163,4668.95844319415,4658.76133341426,4672.80621406869,9,3,3,3,9637,8639,8728,9508,9166,10939,7868,7267,6930,"[516][M]-","","617",8728
"2355",644.141452853399,644.138157277151,644.143542801657,4687.56854846007,4674.70582738585,4691.08305406922,9,3,3,3,15311,13619,13949,17757,17724,19158,9561,10243,9124,"[574][M]-","","182",13949
"2169",181.050934674534,181.050063760363,181.051582386685,4707.10836212523,4703.15309915206,4711.17329964503,9,3,3,3,17985,16505,16919,18828,18086,17831,12548,16280,15150,"[524][M]-","","184",16919
"11133",389.124337240595,389.123863704889,389.124810776301,4712.14224211675,4707.24595006105,4717.03853417245,2,1,1,0,1072,891,853,628,854,817,954,712,763,"","","782",853
"2403",463.08854788164,463.085869273352,463.08957929171,4751.84118462784,4741.82500741365,4754.81005378884,9,3,3,3,38354,33068,34896,20774,21272,28647,46776,43092,42088,"[597][M]-","","108",34896
"2566",509.223674995677,509.220672766954,509.224157694984,4793.66597198144,4785.98776784307,4801.64780743827,7,3,1,3,6596,5778,5920,1668,1654,1553,9959,9871,9359,"[643][M]-","","247",5920
"10331",340.188033908336,340.18714459978,340.189054963231,4818.734732299,4815.36843739191,4820.38259480878,4,1,3,0,4925,4511,4663,7979,7310,7446,1722,1914,1603,"","","245",4663
"2538",477.103204964007,477.101074036578,477.104719689976,4858.00628337582,4852.13596513913,4861.42750025314,9,3,3,3,11250,9936,10085,8296,7938,8854,8349,13485,11680,"[634][M]-","","220",9936
"3973",1053.219211651,1053.21351153319,1053.22346694133,4860.00936819765,4844.12335164429,4864.24239107268,9,3,3,3,4154,3450,3723,2414,2275,2300,5052,4804,4394,"[1042][M]-","","158",3723
"2195",487.145031411666,487.14334808362,487.146712033814,4905.39404798225,4898.16301146707,4918.40532252303,6,3,0,3,13988,12339,12989,2252,2168,2196,22397,22925,20512,"[532][M]-","","160",12989
"2182",314.208126908213,314.207421585806,314.208222425904,4948.14917777027,4939.58450788292,4961.30677403395,3,3,0,0,7608,6361,6567,10583,10450,10267,2004,1947,1613,"[527][M]-","","241",6567
"5871",300.193450653001,300.192676335211,300.193832163489,4956.66415070551,4949.40751719895,4975.42044218924,5,0,2,3,5628,3377,4050,1299,1641,1743,1842,1655,1403,"","","918",1743
"2150",419.029707797992,419.028125384808,419.030429704597,4984.97420687228,4970.06013126378,4989.65378347324,4,2,0,2,1276,1031,1032,973,869,997,1147,1024,1030,"","","391",1030
"2198",387.072680628711,387.070847762668,387.074244452041,4995.84967407461,4989.99611341623,4997.75414361901,5,2,1,2,2412,2189,2254,1186,1103,899,4639,2579,2867,"[533][M]-","","275",2254
"11574",781.199308470463,781.199308470463,781.199308470463,5007.0899170971,5007.0899170971,5007.0899170971,1,0,1,0,2255,1928,2158,5205,5412,5229,928,926,702,"","","994",2158
"2174",405.081690157032,405.080453214456,405.083341627044,5036.26085892884,5026.9547811057,5040.13600208581,5,2,3,0,1638,1381,1446,1959,1924,1896,1007,884,827,"","","361",1446
"2440",465.103631247082,465.102275904555,465.105224546028,5062.36625341267,5054.75755537457,5066.16273535043,9,3,3,3,32586,29986,29672,45061,44049,45269,12592,11753,11016,"[603][M]-","","111",29986
"2183",384.175165814247,384.173205603577,384.176085363432,5080.80645879087,5076.17533337049,5095.08275019919,5,2,3,0,1183,1045,965,1553,1453,1458,417,472,370,"","","266",1045
"3468",1083.22547663463,1083.2220709505,1083.22878716096,5096.46495548126,5083.50349447785,5103.4727541229,9,3,3,3,13915,11081,11954,7085,7182,7932,17113,15296,13617,"[889][M]-","","195",11954
"2189",344.184702296863,344.184702296863,344.184702296863,5113.33482254952,5113.33482254952,5113.33482254952,1,1,0,0,1173,1053,913,1002,1181,1084,415,417,367,"","","196",1002
"2240",340.187745480254,340.186105242883,340.188973597079,5115.34630291288,5112.22343466341,5131.5843253582,9,3,3,3,12273,10304,10333,17037,16098,16671,4403,3957,3739,"[541][M]-","","807",10333
"12077",512.150645649606,512.150645649606,512.150645649606,5127.48260907747,5127.48260907747,5127.48260907747,1,0,1,0,1361,1276,1384,355,465,469,2893,2546,2196,"","","755",1361
"2219",347.116998653407,347.115170168526,347.11854736644,5130.53305743787,5117.3372621054,5142.2704042298,9,3,3,3,20692,18326,17605,17647,17308,17796,18054,18280,16583,"[537][M]-","","173",17796
"2236",277.155848143856,277.154521446395,277.155946822251,5146.57780539615,5138.60568901314,5157.94020631011,3,3,0,0,5481,5129,5089,7139,7171,7936,1527,1590,1501,"","","45",5129
"5938",427.034527240886,427.034527240886,427.034527240886,5159.16349096945,5159.16349096945,5159.16349096945,1,0,0,1,108347,102893,97865,120795,116275,120629,45168,101043,89951,"[1255][M]-","","499",102893
"2499",685.123776263915,685.120976656388,685.126901599608,5178.21177190369,5173.1091649282,5182.34756095899,9,3,3,3,24575,20832,21222,25722,25694,27633,15954,15221,14347,"[620][M]-","","146",21222
"2354",427.033862322214,427.03216916207,427.035929937331,5218.80880956661,5216.40350730018,5223.79247682008,9,3,3,3,143640,134057,128688,149618,150517,162078,63223,129270,113299,"[573][M]-","","33",134057
"2281",511.145073841574,511.142994776438,511.147656860325,5268.72648412433,5266.64604006537,5271.31313560548,9,3,3,3,53178,46005,47018,15413,15646,14745,83244,71419,66850,"[553][M]-","","66",47018
"2309",521.202527575273,521.199827016918,521.205123482157,5287.08560747504,5284.6347288274,5289.19788520976,9,3,3,3,33108,28714,28932,27766,26762,26562,30611,31310,28183,"[558][M]-","","137",28714
"2360",303.051225418599,303.050062806013,303.052339648109,5318.78724546489,5317.24810456197,5330.81831919574,6,3,3,0,18435,18822,16551,33406,32891,29168,7413,7063,5275,"[579][M]-","","136",18435
"2278",495.111826451513,495.104923702066,495.115481646158,5343.40185953687,5340.4167614262,5346.8195567339,9,3,3,3,9919,5546,6734,3024,3183,5410,9184,12249,8663,"[551][M]-","","233",6734
"2511",695.147497961902,695.143077597751,695.150137352614,5355.47728827295,5354.6198921639,5358.7333568745,9,3,3,3,14716,12149,12932,7590,7202,7635,18777,16565,16017,"[625][M]-","","185",12932
"2351",597.161578182985,597.158158795549,597.163445335044,5369.56192394732,5368.81715328561,5372.62948572023,9,3,3,3,55240,48989,49787,33527,31195,32524,66596,67696,61977,"[572][M]-","","78",49787
"2364",594.14077884052,594.13588317052,594.142233127776,5387.63064456963,5385.06130497569,5388.5285092986,6,3,3,0,4393,3958,3847,7654,6957,8260,674,665,628,"[582][M]-","","263",3958
"2349",511.240474093804,511.23770749896,511.242149903221,5399.19398425161,5395.10750321962,5400.40827979585,8,2,3,3,8122,7503,7673,2195,1965,2231,13517,13252,12549,"[571][M]-","","218",7673
"2441",465.104104171773,465.101574884845,465.106015987853,5417.60729567267,5415.16070653377,5419.21981957011,9,3,3,3,124753,112271,111960,128842,119134,133837,102389,103358,95024,"[604][M]-","","37",112271
"11152",707.147490291514,707.147490291514,707.147490291514,5434.54243756056,5434.54243756056,5434.54243756056,1,1,0,0,4123,1412,2695,575,617,671,6195,4308,5775,"","","291",2695
"2395",435.092809414605,435.090931158908,435.095210524574,5453.44674577068,5452.11275155415,5454.57813206708,9,3,3,3,26317,24352,23158,41428,38207,41966,9885,9924,9524,"[592][M]-","","117",24352
"9301",779.220384224308,779.220384224308,779.220384224308,5465.34549362904,5465.34549362904,5465.34549362904,1,0,0,1,6058,5338,4339,2356,5181,2169,3396,3570,3447,"[1499][M]-","","261",3570
"2399",577.135705894918,577.132995051628,577.137713439468,5480.66071955226,5478.52102122851,5483.7855033957,9,3,3,3,49222,44342,44417,32788,37103,28244,56081,54802,50846,"[595][M]-","","94",44417
"2381",390.203271742919,390.200931445577,390.204956638677,5498.72425862949,5493.53209246781,5504.79511052121,9,3,3,3,4693,4444,4291,8073,8418,9417,1151,1174,1127,"[590][M]-","","252",4444
"2761",507.114855575245,507.1118553481,507.116940948101,5511.79035428072,5511.00250450797,5513.61468908441,9,3,3,3,35044,31806,31571,42107,40013,52340,11390,28913,23856,"[698][M]-","","96",31806
"6063",511.241104524458,511.237232070185,511.242997239485,5526.2375633374,5523.63608685873,5527.55111478418,6,0,3,3,9949,8836,8899,5098,5205,5708,12674,12870,11435,"[1273][M]-","","224",8899
"2375",369.115216236144,369.113834119061,369.117661295367,5541.47790691926,5539.69618963765,5542.50233387735,9,3,3,3,6603,7533,6242,2516,2722,2417,10225,10674,9903,"[587][M]-","","240",6603
"2539",477.10364388521,477.101019695703,477.105151424555,5559.63243124962,5555.60267694162,5563.35073030331,9,3,3,3,92954,83608,84595,67158,69621,79846,109356,93363,89692,"[635][M]-","","48",84595
"2425",597.160870644114,597.158307452726,597.16387831648,5573.66145914395,5571.81497733994,5575.27820048726,9,3,3,3,20324,18283,18816,11660,11787,11656,25137,25945,24193,"","","150",18816
"2409",541.296869331191,541.293450872479,541.30018559997,5583.341640328,5581.87461039309,5585.21742543974,6,3,3,0,2261,1936,1985,3892,3772,4085,699,640,575,"","","328",1985
"2612",303.053926474461,303.052255255095,303.054951869149,5595.92788738909,5595.03666411825,5597.94410388079,6,3,3,0,12610,11514,11309,23168,23345,18681,4781,4062,3950,"[662][M]-","","157",11514
"2609",565.155698170441,565.15282942185,565.157969356844,5611.09383726372,5608.33693686731,5613.05378750308,9,3,3,3,22187,19642,20422,13385,13275,13589,25868,25325,23489,"[661][M]-","","152",20422
"3809",781.1969209007,781.188238592167,781.201479551534,5626.06203988355,5624.56696756703,5627.15926399212,5,3,1,1,6851,6050,6217,10215,9928,10517,3505,3738,3378,"","","242",6217
"2762",507.114315219017,507.112158349486,507.115867150851,5639.76716363217,5638.52855340038,5640.92000326117,9,3,3,3,82756,74851,75525,95603,94330,110076,37045,69173,60150,"[699][M]-","","47",75525
"2570",509.22356306288,509.22142958248,509.225559097971,5657.28181285616,5654.16036002008,5659.83663495122,9,3,3,3,50228,43474,45901,59098,58836,57540,38227,37573,34297,"[647][M]-","","88",45901
