"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup"
"13",266.910428616299,266.90975020281,266.911342434683,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2711,2482,3029,2413,2589,2646,2728,2750,2931,"","","69"
"14",267.909572788824,267.909012347291,267.910409798912,18.2050060743318,16.152872468608,18.786962790908,9,3,3,3,1637,1573,1760,1444,1331,1699,1661,1644,1600,"","","69"
"15",268.907933910472,268.907130672158,268.908810960833,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1595,1562,1644,1469,1360,1421,1445,1627,1668,"","","69"
"16",288.900560273461,288.900231048914,288.9010516469,16.2206377842694,16.1183262382994,18.2050060743318,9,3,3,3,4669,4113,4744,3888,3831,4562,4324,4503,4605,"","","69"
"17",289.908237387375,289.906920891677,289.908832104177,16.2206377842694,16.1183262382994,18.4964079013597,9,3,3,3,1537,1477,1395,1198,1427,1302,1539,1426,1409,"","","69"
"18",290.899469936795,290.89898438886,290.901184852051,16.2206377842694,16.1183262382994,18.222868995545,9,3,3,3,2333,2038,2374,2001,1939,2276,2228,2342,2281,"","","69"
"19",316.948019040841,316.947777877154,316.948355509549,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,71631,67985,64497,68618,67211,67339,70641,71472,62350,"[2][M]-","","69"
"20",317.950892728797,317.950386417243,317.952309965756,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3943,3842,3549,3977,3964,3671,3899,3768,3692,"[2][M+1]-","","69"
"21",318.951488344339,318.950169151542,318.953050234321,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1508,1413,1304,1447,1299,1389,1692,1618,1404,"[2][M+2]-","","69"
"22",333.897906370741,333.897097418017,333.898039061794,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,20357,18492,21447,18340,17570,19784,20806,20801,20829,"[3][M]-","","69"
"23",334.898426499633,334.897560247719,334.899008222177,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,6283,5933,6622,5327,5642,6006,6579,6213,6591,"[3][M+1]-","","69"
"24",335.896861785813,335.896089275932,335.897550175478,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,10159,9441,10551,8778,8651,9845,9777,10653,9824,"[3][M+2]-","","69"
"25",336.895434457022,336.893940882238,336.896250574129,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3309,3206,3513,3173,3078,3228,3553,3331,3525,"[3][M+3]-","","69"
"26",338.893967072988,338.893250224973,338.894167745573,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1961,2009,1994,1778,1775,1968,1984,2232,2084,"","","69"
"27",356.887444584948,356.88634767484,356.889435810025,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2679,2374,2503,1998,2110,2401,2513,2665,2434,"","","69"
"28",358.886506507204,358.883481540351,358.889778113965,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1365,1250,1398,1314,1269,1298,1453,1391,1344,"","","69"
"29",384.935117612428,384.934848005604,384.935336210798,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,44369,42725,39445,43821,43123,42434,45428,44955,39023,"[4][M]-","","69"
"30",385.937895077744,385.93742296794,385.938953849504,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3130,2700,2823,3105,3057,3019,3030,3246,2601,"[4][M+1]-","","69"
"31",401.884824508876,401.88392686059,401.885185320075,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,22990,19875,22341,19845,18697,22222,21901,22647,20797,"","","69"
"32",402.885000739827,402.884471651669,402.885617340953,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,14661,14306,15563,13430,13514,14566,14736,14877,15151,"","","69"
"33",403.8838334372,403.883198310174,403.884266482078,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,11780,10086,11110,10323,9905,10988,10971,11745,10866,"","","69"
"34",404.881696547002,404.881150341578,404.882631948376,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,8678,8152,9259,7600,8000,8332,9001,8599,8965,"[5][M]-","","69"
"35",405.884203994222,405.882394781085,405.885238950819,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1985,1859,2163,1620,1694,1840,2030,2002,1991,"[5][M+1]-","","69"
"36",406.880570793557,406.879710467566,406.881072135097,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,5313,4825,5500,4618,4670,5075,5407,5357,5519,"[5][M+2]-","","69"
"37",452.922591943625,452.922047803655,452.923032359051,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,44511,40346,37768,43795,41424,41754,41858,42857,37856,"[6][M]-","","69"
