	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
4950	1057.68705466234	1057.68273926016	1057.69138953114	8015.845	8012.046	8036.076	3	1	1	1	1361	NA	NA	NA	1411	NA	NA	1393	NA
7359	1061.67624716833	1061.67535143681	1061.67912798465	8015.845	8014.051	8030.674	3	0	2	1	NA	NA	NA	NA	1251	1189	NA	1253	NA
4862	784.536800014616	784.536800014616	784.536800014616	8016.026	8016.026	8016.026	1	1	0	0	1148	NA	NA	NA	NA	NA	NA	NA	NA
4989	869.585893837191	869.585171234486	869.589418345918	8016.026	8012.628	8017.85	3	1	1	1	2133	NA	NA	NA	NA	2289	NA	2113	NA
4951	879.585813331821	879.57912737801	879.587925275283	8016.026	8014.633	8024.137	3	1	1	1	1455	NA	NA	NA	NA	1471	NA	NA	1357
8517	893.586879785592	893.581689362429	893.588664054429	8016.028	8010.703	8016.116	3	1	1	1	NA	1379	NA	1346	NA	NA	1265	NA	NA
9295	1017.66196931166	1017.6566788194	1017.66723631522	8016.028	8010.101	8032.106	3	2	1	0	NA	1271	1196	1344	NA	NA	NA	NA	NA
12626	813.547550888955	813.547550888955	813.547550888955	8016.055	8016.055	8016.055	1	0	1	0	NA	NA	NA	NA	2273	NA	NA	NA	NA
12582	840.585080190699	840.585080190699	840.585080190699	8016.055	8016.055	8016.055	1	0	1	0	NA	NA	NA	NA	1068	NA	NA	NA	NA
4834	981.640707831055	981.633114962716	981.646810431715	8016.072	8010.101	8020.728	6	3	1	2	1554	1401	1484	1594	NA	NA	1460	NA	1433
4790	859.545306284403	859.541015699494	859.550855844348	8016.117	7999.988	8016.64	3	1	1	1	1859	NA	NA	NA	NA	1688	NA	NA	1631
7268	881.590392525476	881.577697044879	881.592431985054	8016.117	8011.834	8022.132	5	1	2	2	NA	1694	NA	1820	1779	NA	NA	1721	1655
8532	1051.67454858408	1051.67424197784	1051.6747773976	8016.117	8014.714	8020.039	3	1	0	2	NA	1179	NA	NA	NA	NA	1158	NA	1114
5004	842.571241225684	842.569303135659	842.573179315709	8016.333	8016.026	8016.64	2	1	1	0	1051	NA	NA	NA	NA	1096	NA	NA	NA
11195	1103.71167684561	1103.71044832491	1103.7129053663	8016.3475	8014.051	8018.644	2	0	2	0	NA	NA	NA	NA	1093	1144	NA	NA	NA
11159	901.591432809354	901.58474888761	901.594850985458	8016.64	8016.028	8026.141	3	1	2	0	NA	1727	NA	1993	NA	2035	NA	NA	NA
7275	983.646412184891	983.646019763295	983.649245944595	8016.64	8013.839	8030.753	3	0	1	2	NA	NA	NA	NA	NA	1784	1526	1678	NA
8512	723.518395070498	723.518395070498	723.518395070498	8016.719	8016.719	8016.719	1	0	0	1	NA	NA	NA	NA	NA	NA	1479	NA	NA
8515	1053.6816017266	1053.68075355525	1053.6840811753	8016.719	8008.035	8026.142	3	0	1	2	NA	NA	NA	NA	1331	NA	1275	NA	1311
5002	743.5145147464	743.510649050127	743.518380442674	8016.938	8011.834	8022.042	2	1	0	1	1507	NA	NA	NA	NA	NA	NA	1565	NA
7272	1011.65965005744	1011.65333735284	1011.6671862149	8016.9585	8006.615	8034.162	8	2	3	3	NA	1517	1505	1524	1515	1577	1501	1557	1460
7334	989.643566622955	989.639530398767	989.651804067309	8016.9835	8016.067	8026.665	4	1	1	2	NA	NA	1239	NA	NA	1351	NA	1292	1211
11184	751.525005321834	751.523138058393	751.526872585275	8017.349	8014.633	8020.065	2	0	2	0	NA	NA	NA	NA	1494	1584	NA	NA	NA
7291	861.554826576097	861.553290363777	861.555592761751	8017.3495	8013.839	8024.137	4	0	2	2	NA	NA	NA	NA	1426	1297	NA	1338	1167
8591	871.586254811128	871.584687441893	871.587822180363	8017.3945	8012.708	8022.081	2	1	0	1	NA	NA	1927	NA	NA	NA	1988	NA	NA
7409	687.467173215143	687.467173215143	687.467173215143	8017.85	8017.85	8017.85	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	1458	NA
7323	1025.66731059532	1025.66731059532	1025.66731059532	8017.85	8017.85	8017.85	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	1468	NA
7361	1111.71501508315	1111.70790213806	1111.71824685161	8017.85	8016.055	8028.058	5	1	2	2	NA	1061	NA	1157	1169	NA	NA	1079	1094
4849	721.495092861953	721.489287013162	721.496928128626	8018.033	8016.055	8018.644	3	1	2	0	1066	NA	NA	NA	1146	1113	NA	NA	NA
9248	863.558121666213	863.557337257984	863.56505928021	8018.033	8008.035	8022.081	3	2	1	0	NA	1143	1133	NA	1352	NA	NA	NA	NA
11596	1009.65855282176	1009.65855282176	1009.65855282176	8018.033	8018.033	8018.033	1	1	0	0	NA	1218	NA	NA	NA	NA	NA	NA	NA
4961	1019.66270632895	1019.65689878258	1019.66510632024	8018.033	8014.063	8022.042	3	3	0	0	1242	1099	1150	NA	NA	NA	NA	NA	NA
12616	1075.70015928509	1075.70015928509	1075.70015928509	8018.06	8018.06	8018.06	1	0	1	0	NA	NA	NA	NA	1087	NA	NA	NA	NA
